"Timestamp","SystemCpuPercent","TotalRamMiB","AvailableRamMiB","UsedRamMiB","OllamaWorkingSetMiB","NvidiaGpuUtilPercent","NvidiaMemoryUsedMiB","NvidiaMemoryTotalMiB","NvidiaPowerWatts","NvidiaTemperatureC"
"2026-08-15T16:10:46.3439697-05:00","1.57","32604","18980","13624","52","3","1319","8192","13.46","48"
"2026-08-15T16:10:48.6747059-05:00","3.12","32604","18980","13624","52","1","1319","8192","13.39","48"
"2026-08-15T16:10:50.7399349-05:00","8.98","32604","18964","13640","52","2","1319","8192","13.44","48"
"2026-08-15T16:10:52.8054237-05:00","11.05","32604","18958","13646","52","1","1294","8192","13.47","48"
"2026-08-15T16:10:54.8719495-05:00","10.3","32604","18963","13641","52","4","1293","8192","13.51","48"
"2026-08-15T16:10:56.9536307-05:00","10.78","32604","18974","13630","52","1","1292","8192","13.74","48"
"2026-08-15T16:10:59.0028618-05:00","11.26","32604","18969","13635","52","6","1233","8192","13.69","48"
"2026-08-15T16:11:01.0683974-05:00","11.72","32604","18971","13633","52","3","1224","8192","13.64","48"
"2026-08-15T16:11:03.1366139-05:00","11","32604","18972","13632","52","3","1201","8192","13.64","48"
"2026-08-15T16:11:05.1952668-05:00","11.49","32604","18977","13627","52","1","1197","8192","13.59","48"
"2026-08-15T16:11:07.2709125-05:00","10.91","32604","18978","13626","52","1","1196","8192","13.62","48"
"2026-08-15T16:11:09.3394080-05:00","13.09","32604","18969","13635","52","1","1195","8192","13.59","48"
"2026-08-15T16:11:11.3930398-05:00","10.79","32604","18969","13635","52","3","1192","8192","13.68","48"
"2026-08-15T16:11:13.4773394-05:00","11.42","32604","18982","13622","52","4","1165","8192","13.58","48"
"2026-08-15T16:11:15.5380837-05:00","11.57","32604","18981","13623","52","1","1164","8192","13.50","47"
"2026-08-15T16:11:17.5988656-05:00","11.82","32604","18983","13621","52","8","1163","8192","13.47","48"
"2026-08-15T16:11:19.6624887-05:00","12.42","32604","18981","13623","52","6","1162","8192","13.69","47"
"2026-08-15T16:11:21.7137717-05:00","28.33","32604","18872","13732","52","44","1387","8192","15.14","48"
"2026-08-15T16:11:23.7825997-05:00","7.84","32604","18913","13691","52","2","1372","8192","13.58","48"
"2026-08-15T16:11:25.8391453-05:00","14.59","32604","18924","13680","52","2","1243","8192","13.99","48"
"2026-08-15T16:11:27.8942402-05:00","14.64","32604","18907","13697","52","16","1234","8192","15.42","48"
"2026-08-15T16:11:29.9705239-05:00","13.05","32604","18895","13709","52","17","1221","8192","16.09","48"
"2026-08-15T16:11:32.0319007-05:00","19.06","32604","18856","13748","52","9","1218","8192","14.53","48"
"2026-08-15T16:11:34.1146875-05:00","11.6","32604","18879","13725","52","2","1216","8192","13.74","47"
"2026-08-15T16:11:36.1807877-05:00","12.4","32604","18876","13728","52","5","1203","8192","14.34","48"
"2026-08-15T16:11:38.2618365-05:00","11.73","32604","18875","13729","52","7","1200","8192","14.02","47"
"2026-08-15T16:11:40.3374748-05:00","15.63","32604","18881","13723","52","1","1235","8192","48.02","49"
"2026-08-15T16:11:42.4092374-05:00","15.6","32604","18870","13734","52","24","1243","8192","23.55","48"
"2026-08-15T16:11:44.4789973-05:00","14.07","32604","18867","13737","86","3","1244","8192","14.01","48"
"2026-08-15T16:11:46.5541115-05:00","19.56","32604","18200","14404","738","23","6039","8192","51.97","50"
"2026-08-15T16:11:48.6244005-05:00","21.41","32604","17989","14615","950","96","6759","8192","165.65","57"
"2026-08-15T16:11:50.6913038-05:00","21.13","32604","17987","14617","951","96","6759","8192","219.44","59"
"2026-08-15T16:11:52.8127382-05:00","18.35","32604","17988","14616","951","95","6759","8192","218.99","61"
"2026-08-15T16:11:54.8796739-05:00","16.75","32604","18635","13969","315","1","1253","8192","136.89","56"
"2026-08-15T16:11:57.0083194-05:00","11.96","32604","18868","13736","67","0","1267","8192","56.16","54"
